Day Index,Symbol,Cap Type,Sector
76,RVNL,Largecap,Realty
76,360ONE,Largecap,Financials
76,ANGELONE,Largecap,Financials
76,NYKAA,Largecap,I.T
76,IREDA,Largecap,Financials
77,BHEL,Largecap,Industrials
77,RELIANCE,Largecap,Energy
77,LT,Largecap,Realty
77,BPCL,Largecap,Energy
77,TMPV,Largecap,Auto
77,CONCOR,Largecap,Transportation
77,GLENMARK,Largecap,Healthcare
77,CANBK,Largecap,Bank
77,BIOCON,Largecap,Healthcare
77,TECHM,Largecap,I.T
77,OBEROIRLTY,Largecap,Realty
77,DALBHARAT,Largecap,Building Materials
77,ADANIENSOL,Largecap,Power & Utilities
77,LAURUSLABS,Largecap,Healthcare
77,IRFC,Largecap,Financials
77,SONACOMS,Largecap,Auto
78,FEDERALBNK,Largecap,Bank
78,LT,Largecap,Realty
78,AUROPHARMA,Largecap,Healthcare
78,LTF,Largecap,Financials
78,LAURUSLABS,Largecap,Healthcare
78,AUBANK,Largecap,Bank
79,SUNPHARMA,Largecap,Healthcare
79,POLYCAB,Largecap,Industrials
79,KALYANKJIL,Largecap,Consumer Discretionary
80,APOLLOHOSP,Largecap,Healthcare
80,BHARTIARTL,Largecap,Telecom-Service
80,MARUTI,Largecap,Auto
80,IREDA,Largecap,Financials
81,BHEL,Largecap,Industrials
81,PHOENIXLTD,Largecap,Realty
81,WIPRO,Largecap,I.T
81,PETRONET,Largecap,Energy
81,LTF,Largecap,Financials
81,PGEL,Midcap,Consumer Discretionary
81,RBLBANK,Largecap,Bank
81,SONACOMS,Largecap,Auto
82,BLUESTARCO,Largecap,Consumer Discretionary
82,MFSL,Largecap,Miscellaneous
82,GRASIM,Largecap,Textiles
82,BHARATFORG,Largecap,Industrials
82,M&M,Largecap,Auto
82,VOLTAS,Largecap,Consumer Discretionary
82,PHOENIXLTD,Largecap,Realty
82,SRF,Largecap,Chemicals
82,EICHERMOT,Largecap,Auto
82,SUPREMEIND,Largecap,Plastic products
82,CHOLAFIN,Largecap,Financials
82,UPL,Largecap,Chemicals
82,MOTHERSON,Largecap,Auto
82,KEI,Largecap,Industrials
82,AUROPHARMA,Largecap,Healthcare
82,NMDC,Largecap,Metals & Mining
82,CONCOR,Largecap,Transportation
82,GLENMARK,Largecap,Healthcare
82,TCS,Largecap,I.T
82,YESBANK,Largecap,Bank
82,GMRAIRPORT,Largecap,Miscellaneous
82,ASTRAL,Largecap,Plastic products
82,FORTIS,Largecap,Healthcare
82,BAJAJ-AUTO,Largecap,Auto
82,NHPC,Largecap,Power & Utilities
82,PGEL,Midcap,Consumer Discretionary
82,INDUSTOWER,Largecap,Telecom
82,LAURUSLABS,Largecap,Healthcare
82,NAM-INDIA,Largecap,Financials
82,HAL,Largecap,Aerospace & Defence
83,BEL,Largecap,Aerospace & Defence
83,MFSL,Largecap,Miscellaneous
83,BHARATFORG,Largecap,Industrials
83,BPCL,Largecap,Energy
83,TATACONSUM,Largecap,FMCG
83,PHOENIXLTD,Largecap,Realty
83,EICHERMOT,Largecap,Auto
83,MPHASIS,Largecap,I.T
83,NMDC,Largecap,Metals & Mining
83,MARICO,Largecap,FMCG
83,TVSMOTOR,Largecap,Auto
83,TCS,Largecap,I.T
83,SOLARINDS,Largecap,Aerospace & Defence
83,IDEA,Largecap,Telecom-Service
83,RECLTD,Largecap,Financials
83,JSWENERGY,Largecap,Power & Utilities
83,PERSISTENT,Largecap,I.T
83,LTF,Largecap,Financials
83,IDFCFIRSTB,Largecap,Bank
83,LTM,Largecap,I.T
83,ICICIPRULI,Largecap,Financials
83,VBL,Largecap,FMCG
83,BANKNIFTY,Smallcap,Indices
83,ABCAPITAL,Largecap,Financials
83,360ONE,Largecap,Financials
83,PAYTM,Largecap,I.T
84,TITAN,Largecap,Consumer Discretionary
84,MUTHOOTFIN,Largecap,Financials
84,PNBHOUSING,Largecap,Financials
84,SBILIFE,Largecap,Financials
85,TATACONSUM,Largecap,FMCG
85,PHOENIXLTD,Largecap,Realty
85,NMDC,Largecap,Metals & Mining
85,MARICO,Largecap,FMCG
85,AXISBANK,Largecap,Bank
85,PNB,Largecap,Bank
85,IDEA,Largecap,Telecom-Service
85,ICICIPRULI,Largecap,Financials
85,BDL,Largecap,Aerospace & Defence
86,TITAN,Largecap,Consumer Discretionary
86,LUPIN,Largecap,Healthcare
86,ASIANPAINT,Largecap,Building Materials
86,INDUSINDBK,Largecap,Bank
86,GODREJCP,Largecap,FMCG
86,VBL,Largecap,FMCG
87,MARICO,Largecap,FMCG
88,TITAN,Largecap,Consumer Discretionary
88,TATAELXSI,Largecap,I.T
88,HINDUNILVR,Largecap,FMCG
88,NESTLEIND,Largecap,FMCG
88,CANBK,Largecap,Bank
88,PERSISTENT,Largecap,I.T
88,ICICIPRULI,Largecap,Financials
88,LAURUSLABS,Largecap,Healthcare
88,ABCAPITAL,Largecap,Financials
88,SBILIFE,Largecap,Financials
89,HINDZINC,Largecap,Metals & Mining
89,TORNTPHARM,Largecap,Healthcare
89,COLPAL,Largecap,FMCG
89,MANAPPURAM,Largecap,Financials
89,CANBK,Largecap,Bank
90,SBIN,Largecap,Bank
90,HINDZINC,Largecap,Metals & Mining
90,VEDL,Largecap,Metals & Mining
90,SHREECEM,Largecap,Building Materials
90,HINDALCO,Largecap,Metals & Mining
90,BHARATFORG,Largecap,Industrials
90,BANKBARODA,Largecap,Bank
90,BANKINDIA,Largecap,Bank
90,NATIONALUM,Largecap,Metals & Mining
